# config
# run_id,20260101_220800_de6ff61e
# git_commit,726c268
# git_dirty,False
# host,Batman
# N,128
# steps,200000
# warmup,10000
# drive_amount,1.0
# kappa,10.0
# kappa_jitter,0.05
# seed,1
# topple_mode,drop
# boundary_mode,sink
# out_dir,fold_runs
# tag,foldtoy
# summary
# events,61011.0
# event_fraction,0.305055
# max_avalanche,15076.0
# mean_avalanche_nonzero,914.9628099850846
# total_topples,58346657.0
# max_queue,20.0
# runtime_sec,524.0088033676147
# data
t,avalanche_size
0,96
1,0
2,0
3,147
4,167
5,0
6,870
7,9
8,0
9,0
10,0
11,0
12,0
13,0
14,4509
15,0
16,0
17,0
18,55
19,0
20,0
21,0
22,0
23,0
24,68
25,232
26,0
27,0
28,0
29,0
30,272
31,0
32,0
33,0
34,0
35,9748
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1667
45,21
46,0
47,0
48,0
49,0
50,0
51,294
52,0
53,0
54,0
55,0
56,26
57,2140
58,0
59,0
60,0
61,4378
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,405
80,0
81,0
82,30
83,0
84,0
85,0
86,0
87,0
88,21
89,0
90,0
91,1279
92,0
93,2851
94,106
95,0
96,0
97,0
98,21
99,0
100,0
101,0
102,4989
103,0
104,0
105,24
106,60
107,185
108,0
109,0
110,0
111,0
112,0
113,0
114,3186
115,43
116,18
117,0
118,0
119,0
120,0
121,1367
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,42
138,0
139,0
140,0
141,47
142,0
143,0
144,0
145,6755
146,0
147,0
148,103
149,1351
150,1208
151,0
152,1576
153,0
154,0
155,0
156,0
157,0
158,0
159,24
160,0
161,0
162,0
163,316
164,0
165,0
166,0
167,0
168,0
169,0
170,143
171,0
172,1412
173,0
174,0
175,0
176,0
177,0
178,0
179,1678
180,540
181,0
182,9
183,107
184,3354
185,0
186,0
187,0
188,0
189,0
190,140
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,3034
199,0
200,12
201,0
202,0
203,0
204,0
205,0
206,773
207,0
208,0
209,0
210,423
211,0
212,0
213,0
214,0
215,0
216,0
217,881
218,0
219,0
220,0
221,0
222,37
223,0
224,0
225,0
226,0
227,22
228,0
229,4230
230,0
231,1249
232,0
233,0
234,2224
235,42
236,26
237,0
238,0
239,0
240,0
241,0
242,180
243,0
244,0
245,0
246,0
247,49
248,0
249,0
250,0
251,169
252,0
253,88
254,0
255,0
256,8
257,7558
258,0
259,0
260,251
261,0
262,518
263,20
264,0
265,0
266,0
267,0
268,339
269,0
270,53
271,0
272,0
273,0
274,0
275,0
276,1167
277,0
278,0
279,0
280,3
281,0
282,3517
283,0
284,0
285,0
286,10
287,64
288,0
289,50
290,3936
291,0
292,0
293,0
294,0
295,0
296,0
297,2466
298,0
299,0
300,0
301,0
302,0
303,18
304,0
305,0
306,0
307,0
308,0
309,815
310,0
311,557
312,0
313,27
314,0
315,0
316,0
317,1965
318,0
319,4352
320,5
321,44
322,0
323,0
324,0
325,12
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,20
334,0
335,12
336,837
337,0
338,0
339,0
340,0
341,0
342,801
343,0
344,0
345,0
346,0
347,0
348,17
349,0
350,4
351,0
352,71
353,0
354,0
355,1049
356,4871
357,633
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,42
367,24
368,1399
369,332
370,0
371,0
372,0
373,0
374,0
375,7
376,77
377,1152
378,0
379,0
380,87
381,0
382,0
383,0
384,0
385,0
386,0
387,272
388,0
389,0
390,0
391,306
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,233
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,35
409,0
410,0
411,0
412,0
413,0
414,60
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,9257
423,0
424,84
425,0
426,0
427,0
428,0
429,0
430,9
431,0
432,0
433,0
434,45
435,0
436,0
437,0
438,0
439,0
440,8148
441,0
442,0
443,0
444,0
445,0
446,0
447,48
448,425
449,0
450,0
451,0
452,0
453,0
454,15
455,0
456,0
457,6223
458,0
459,0
460,86
461,10
462,0
463,75
464,0
465,0
466,0
467,201
468,111
469,0
470,0
471,0
472,0
473,136
474,405
475,0
476,0
477,0
478,0
479,203
480,0
481,0
482,0
483,17
484,0
485,0
486,0
487,0
488,3318
489,0
490,0
491,0
492,0
493,63
494,0
495,88
496,243
497,0
498,0
499,201
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,121
510,0
511,0
512,0
513,17
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,380
522,0
523,0
524,374
525,0
526,0
527,0
528,9936
529,0
530,0
531,403
532,0
533,0
534,0
535,0
