# config
# run_id,20260101_224232_27217bb4
# git_commit,726c268
# git_dirty,False
# host,Batman
# N,256
# steps,200000
# warmup,10000
# drive_amount,1.0
# kappa,10.0
# kappa_jitter,0.05
# seed,1
# topple_mode,drop
# boundary_mode,sink
# out_dir,fold_runs
# tag,foldtoy
# summary
# events,63964.0
# event_fraction,0.31982
# max_avalanche,79165.0
# mean_avalanche_nonzero,3457.3121755987745
# total_topples,230045275.0
# max_queue,37.0
# runtime_sec,2071.5323247909546
# data
t,avalanche_size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,620
10,0
11,800
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1702
21,0
22,0
23,0
24,72
25,0
26,87
27,0
28,0
29,0
30,0
31,16
32,48
33,3
34,0
35,7216
36,4
37,0
38,0
39,0
40,18791
41,49
42,59
43,13512
44,0
45,104
46,0
47,0
48,13
49,0
50,159
51,0
52,171
53,0
54,0
55,7
56,21
57,14
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,32
66,0
67,0
68,0
69,0
70,0
71,34
72,0
73,0
74,0
75,16706
76,0
77,0
78,0
79,24
80,0
81,6511
82,0
83,4370
84,0
85,0
86,106
87,54
88,0
89,0
90,3344
91,9931
92,0
93,0
94,0
95,0
96,0
97,0
98,6318
99,0
100,0
101,0
102,0
103,0
104,9542
105,3
106,0
107,0
108,0
109,11821
110,0
111,3701
112,0
113,0
114,361
115,0
116,0
117,0
118,2228
119,0
120,0
121,0
122,0
123,106
124,7611
125,0
126,167
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,250
136,401
137,23
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,6
146,0
147,0
148,0
149,6049
150,0
151,6228
152,0
153,0
154,0
155,0
156,0
157,0
158,603
159,0
160,0
161,0
162,0
163,0
164,0
165,6
166,0
167,6
168,37707
169,45
170,27
171,0
172,11775
173,576
174,0
175,1904
176,0
177,0
178,0
179,2115
180,135
181,0
182,0
183,0
184,0
185,101
186,515
187,10
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,1672
200,0
201,2548
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,10119
212,0
213,0
214,0
215,0
216,0
217,0
218,504
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,20748
227,0
228,0
229,11
230,0
231,15778
232,0
233,0
234,0
235,0
236,1872
237,100
238,51
239,3
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,428
255,0
256,2563
257,0
258,0
259,24525
260,0
261,0
262,10015
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,619
275,0
276,0
277,0
278,8963
279,0
280,217
281,0
282,0
283,0
284,0
285,192
286,0
287,0
288,0
289,0
290,14918
291,166
292,11155
293,2
294,0
295,0
296,0
297,0
298,82
299,828
300,48
301,0
302,0
303,0
304,0
305,0
306,93
307,0
308,0
309,233
310,0
311,0
312,4671
313,0
314,0
315,14798
316,0
317,0
318,28
319,0
320,58
321,1237
322,0
323,22
324,0
325,0
326,0
327,354
328,64
329,18
330,0
331,5018
332,0
333,4788
334,5
335,28
336,2169
337,0
338,0
339,221
340,0
341,76
342,0
343,0
344,0
345,0
346,0
347,203
348,0
349,0
350,0
351,12
352,1018
353,103
354,0
355,0
356,0
357,0
358,78
359,0
360,227
361,0
362,0
363,0
364,10
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,546
374,2455
375,5162
376,0
377,0
378,0
379,0
380,0
381,0
382,20
383,34
384,0
385,17728
386,93
387,0
388,1535
389,1052
390,8055
391,8899
392,0
393,4
394,0
395,0
396,0
397,8674
398,0
399,0
400,0
401,0
402,17
403,0
404,0
405,0
406,0
407,0
408,0
409,41
410,0
411,0
412,0
413,45
414,0
415,19420
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,984
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,5893
432,8
433,0
434,3
435,0
436,0
437,0
438,1405
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,713
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
