# config
# run_id,20260101_215916_2fd92fa6
# git_commit,726c268
# git_dirty,False
# host,Batman
# N,64
# steps,200000
# warmup,10000
# drive_amount,1.0
# kappa,10.0
# kappa_jitter,0.05
# seed,1
# topple_mode,drop
# boundary_mode,sink
# out_dir,fold_runs
# tag,foldtoy
# summary
# events,58347.0
# event_fraction,0.291735
# max_avalanche,3165.0
# mean_avalanche_nonzero,245.744391314035
# total_topples,15023337.0
# max_queue,14.0
# runtime_sec,135.01062273979187
# data
t,avalanche_size
0,29
1,0
2,850
3,18
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,46
18,252
19,30
20,0
21,0
22,0
23,0
24,88
25,708
26,0
27,174
28,15
29,0
30,887
31,0
32,81
33,30
34,0
35,65
36,10
37,0
38,0
39,28
40,0
41,0
42,52
43,0
44,0
45,93
46,0
47,0
48,51
49,0
50,0
51,134
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,11
60,351
61,0
62,0
63,0
64,0
65,24
66,0
67,2132
68,0
69,0
70,0
71,0
72,0
73,0
74,10
75,0
76,0
77,3
78,0
79,0
80,0
81,0
82,520
83,0
84,0
85,0
86,16
87,0
88,0
89,12
90,0
91,0
92,777
93,0
94,0
95,0
96,0
97,0
98,61
99,0
100,0
101,0
102,0
103,0
104,157
105,0
106,0
107,66
108,0
109,0
110,0
111,47
112,47
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,14
121,0
122,0
123,0
124,25
125,845
126,0
127,0
128,0
129,102
130,0
131,788
132,0
133,0
134,0
135,0
136,1029
137,0
138,0
139,0
140,59
141,0
142,369
143,75
144,0
145,95
146,0
147,4
148,121
149,142
150,0
151,28
152,24
153,0
154,0
155,0
156,246
157,0
158,198
159,11
160,24
161,0
162,107
163,0
164,0
165,48
166,242
167,0
168,124
169,0
170,75
171,16
172,84
173,11
174,0
175,0
176,0
177,0
178,0
179,18
180,0
181,17
182,0
183,0
184,74
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1682
193,0
194,259
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,14
203,0
204,0
205,88
206,887
207,8
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,78
220,0
221,0
222,28
223,0
224,0
225,1054
226,0
227,0
228,0
229,27
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,715
238,315
239,28
240,0
241,0
242,27
243,0
244,0
245,0
246,42
247,0
248,1070
249,0
250,13
251,0
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,1
262,23
263,0
264,0
265,146
266,0
267,676
268,0
269,0
270,0
271,92
272,0
273,0
274,30
275,0
276,0
277,110
278,0
279,0
280,0
281,0
282,0
283,0
284,12
285,0
286,0
287,1162
288,0
289,0
290,0
291,0
292,0
293,52
294,0
295,0
296,0
297,82
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,432
313,0
314,0
315,0
316,0
317,921
318,0
319,0
320,673
321,0
322,0
323,0
324,656
325,0
326,0
327,0
328,0
329,0
330,0
331,146
332,0
333,0
334,0
335,626
336,0
337,0
338,0
339,0
340,0
341,0
342,186
343,0
344,0
345,265
346,0
347,0
348,0
349,24
350,0
351,0
352,0
353,20
354,0
355,38
356,160
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,1491
365,262
366,45
367,90
368,0
369,0
370,2
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,53
379,19
